"","subject","trigger","prime.x","list.x","target","stemid","correct_response","target.resp","target.acc","target.rt","target.rt.trm.err","relatedness","w_word","stem","affix","whl_word_len","afx_len","stem_len","transp","afx_onset","stem_frq","stem_logfrq","whl_word_freq","whl_word_logfrq","rel_frq","prime.y","afx_frq","med_splt","r1_splt","r1.5_splt","list.y","new.rt","log.rt","inverse.rt"
"2537",20,127,"boyhood","List1","king",27,6,6,1,469,469,"unrelated","kingdom","king","dom",7,3,4,"transparent","consonant",91.7378,1.967256789,28.973,1.476730214,1.332170744,"kingdom","low","low","high","low","B",469,6.15060276844628,2.13219616204691
"2538",20,128,"eleventh","List1","sap",28,6,6,1,552,552,"unrelated","sapling","sap","ling",7,4,3,"transparent","consonant",2.79616,0.579344509,0.713913,0.233988773,2.475950017,"sapling","low","high","high","high","B",552,6.31354804627709,1.81159420289855
"2539",20,129,"sixth","List1","earth",29,6,6,1,498,498,"unrelated","earthling","earth","ling",9,4,5,"transparent","consonant",161.999,2.21218494,0.237971,0.092710471,23.861219690479,"earthling","low","high","high","high","B",498,6.21060007702465,2.00803212851406
"2540",20,130,"duckling","List1","grow",30,6,6,1,618,618,"unrelated","growth","grow","th",6,2,4,"transparent","consonant",95.4264,1.984195953,121.841,2.089343343,0.949674432,"growth","low","low","low","low","B",618,6.42648845745769,1.61812297734628
"2541",20,131,"stardom","List1","serf",31,6,6,1,642,642,"unrelated","serfdom","serf","dom",7,3,4,"transparent","consonant",0.356957,0.132566086,0.237971,0.092710471,1.429893335,"serfdom","low","low","high","low","B",642,6.46458830368996,1.55763239875389
"2542",20,133,"classify","List2","cash",33,6,6,1,475,475,"unrelated","cashier","cash","ier",7,3,4,"transparent","vowel",54.3169,1.742857834,2.20123,0.505316878,3.449039418,"cashier","low","high","high","high","A",475,6.16331480403464,2.10526315789474
"2543",20,134,"hotelier","List2","solid",34,6,6,1,585,585,"unrelated","solidify","solid","ify",8,3,5,"transparent","vowel",46.5233,1.67690659,0.475942,0.169069291,9.91845751622358,"solidify","low","high","high","high","A",585,6.37161184723186,1.70940170940171
"2544",20,135,"marketeer","List2","fort",35,6,6,1,577,577,"unrelated","fortify","fort","ify",7,3,4,"transparent","vowel",23.7971,1.394400893,1.18986,0.340416351,4.09616308,"fortify","low","high","high","high","A",577,6.3578422665081,1.73310225303293
"2545",20,136,"justify","List2","profit",36,6,6,1,589,589,"unrelated","profiteer","profit","eer",9,3,6,"transparent","vowel",36.945,1.579154557,0.118986,0.048824653,32.343384492,"profiteer","low","high","high","high","A",589,6.37842618365159,1.69779286926995
"2546",20,137,"courtier","List2","direct",37,6,6,1,531,531,"unrelated","directory","direct","ory",9,3,6,"transparent","vowel",94.2365,1.978803426,3.98601,0.697753145,2.835964893,"directory","low","high","high","high","A",531,6.27476202124194,1.88323917137476
