"","subject","trigger","prime.x","list.x","target","stemid","correct_response","target.resp","target.acc","target.rt","target.rt.trm.err","relatedness","w_word","stem","affix","whl_word_len","afx_len","stem_len","transp","afx_onset","stem_frq","stem_logfrq","whl_word_freq","whl_word_logfrq","rel_frq","prime.y","afx_frq","med_splt","r1_splt","r1.5_splt","list.y","new.rt","log.rt","inverse.rt"
"1608",15,8,"career","List2","car",8,6,6,1,827,827,"related","career","car","eer",6,3,3,"opaque","vowel",274.916,2.440776885,57.1725,1.764717728,1.383097617,"career","low","low","high","low","A",827,6.71780469502369,0.00120918984280532
"1609",15,9,"ratify","List2","rat",9,6,6,1,499,499,"related","ratify","rat","ify",6,3,3,"opaque","vowel",8.68594,0.986141774,0.713913,0.233988773,4.214483273,"ratify","low","high","high","high","A",499,6.21260609575152,0.00200400801603206
"1610",15,10,"factory","List2","fact",10,6,6,1,506,506,"related","factory","fact","ory",7,3,4,"opaque","vowel",448.635,2.65286011,39.2652,1.604929861,1.65294457584216,"factory","low","low","high","high","A",506,6.22653666928747,0.00197628458498024
"1611",15,11,"pillory","List2","pill",11,6,6,1,453,453,"related","pillory","pill","ory",7,3,4,"opaque","vowel",13.8023,1.170329202,0.416449,0.151200942,7.740224226,"pillory","low","high","high","high","A",453,6.11589212548303,0.0022075055187638
"1612",15,12,"hickory","List1","hick",12,6,6,1,781,781,"related","hickory","hick","ory",7,3,4,"opaque","vowel",1.24935,0.352057037,1.13036,0.328452999,1.071864276,"hickory","low","low","high","low","B",781,6.66057514983969,0.00128040973111396
"1613",15,13,"auditory","List1","audit",13,6,6,1,642,642,"related","auditory","audit","ory",8,3,5,"opaque","vowel",1.6063,0.416024404,0.356957,0.132566086,3.138241562,"auditory","low","high","high","high","B",642,6.46458830368996,0.00155763239875389
"1614",15,14,"testify","List1","test",14,6,6,1,664,664,"related","testify","test","ify",7,3,4,"opaque","vowel",79.4228,1.905379189,5.23536,0.794861533,2.397120891,"testify","low","high","high","high","B",664,6.49828214947643,0.00150602409638554
"1615",15,15,"seedling","List2","seed",15,6,6,1,587,587,"related","seedling","seed","ling",8,4,4,"transparent","consonant",28.616,1.471526401,0.594928,0.202741082,7.258155965,"seedling","low","high","high","high","A",587,6.3750248198281,0.00170357751277683
"1616",15,16,"warmth","List2","warm",16,6,6,1,503,503,"related","warmth","warm","th",6,2,4,"transparent","consonant",94.177,1.978532012,24.987,1.414756146,1.398496848,"warmth","low","low","high","low","A",503,6.22059017009974,0.00198807157057654
"1617",15,17,"fourth","List2","four",17,6,6,1,506,506,"related","fourth","four","th",6,2,4,"transparent","consonant",319.714,2.506117918,45.274,1.665337042,1.504871298,"fourth","low","low","high","high","A",506,6.22653666928747,0.00197628458498024
"1618",15,18,"boyhood","List2","boy",18,6,6,1,565,565,"related","boyhood","boy","hood",7,4,3,"transparent","consonant",223.871,2.351933451,4.52145,0.742053144,3.16949462,"boyhood","low","high","high","high","A",565,6.33682573114644,0.00176991150442478
"1619",15,19,"eleventh","List2","eleven",19,6,6,1,510,510,"related","eleventh","eleven","th",8,2,6,"transparent","consonant",40.0386,1.613192537,4.69993,0.755869522,2.134220904,"eleventh","low","low","high","high","A",510,6.23441072571837,0.00196078431372549
